Municipio codigo	Municipio nombre	Sexo, código	Sexo	Relación lugar de residencia y nacimiento prov, código	Relación lugar de residencia y nacimiento prov	Personas
22001	Abiego	1	Hombre	01	El mismo municipio que reside	63,4639947602
22001	Abiego	1	Hombre	02	Otro municipio de la misma provincia	51,6432969334
22001	Abiego	1	Hombre	03	Otro municipio de Aragón	7,6823666043
22001	Abiego	1	Hombre	04	En una provincia limítrofe a Aragón	1,5275988678
22001	Abiego	1	Hombre	05	Resto de España	18,9689407841
22001	Abiego	1	Hombre	06	El Extranjero	2,7138020506
22002	Abizanda	1	Hombre	01	El mismo municipio que reside	19,0477156205
22002	Abizanda	1	Hombre	02	Otro municipio de la misma provincia	28,7468958438
22002	Abizanda	1	Hombre	05	Resto de España	11,1020218349
22002	Abizanda	1	Hombre	06	El Extranjero	4,9283462562
22003	Adahuesca	1	Hombre	01	El mismo municipio que reside	28,3186123512
22003	Adahuesca	1	Hombre	02	Otro municipio de la misma provincia	25,6047377636
22003	Adahuesca	1	Hombre	03	Otro municipio de Aragón	2,7428353051
22003	Adahuesca	1	Hombre	04	En una provincia limítrofe a Aragón	4,9682486226
22003	Adahuesca	1	Hombre	05	Resto de España	17,6484832099
22003	Adahuesca	1	Hombre	06	El Extranjero	7,7170827476
22004	Agüero	1	Hombre	01	El mismo municipio que reside	33,6238084258
22004	Agüero	1	Hombre	02	Otro municipio de la misma provincia	28,6173468459
22004	Agüero	1	Hombre	03	Otro municipio de Aragón	12,9958466742
22004	Agüero	1	Hombre	04	En una provincia limítrofe a Aragón	1,1615797733
22004	Agüero	1	Hombre	05	Resto de España	5,8311749595
22004	Agüero	1	Hombre	06	El Extranjero	0,5983683221
22006	Aísa	1	Hombre	01	El mismo municipio que reside	65,6547256976
22006	Aísa	1	Hombre	02	Otro municipio de la misma provincia	65,2226159335
22006	Aísa	1	Hombre	03	Otro municipio de Aragón	21,6094505801
22006	Aísa	1	Hombre	04	En una provincia limítrofe a Aragón	5,9523147985
22006	Aísa	1	Hombre	05	Resto de España	22,6464622188
22006	Aísa	1	Hombre	06	El Extranjero	22,4632492734
22007	Albalate de Cinca	1	Hombre	01	El mismo municipio que reside	276,8736145483
22007	Albalate de Cinca	1	Hombre	02	Otro municipio de la misma provincia	148,0691266724
22007	Albalate de Cinca	1	Hombre	03	Otro municipio de Aragón	10,4822316713
22007	Albalate de Cinca	1	Hombre	04	En una provincia limítrofe a Aragón	48,0320019999
22007	Albalate de Cinca	1	Hombre	05	Resto de España	29,9442128996
22007	Albalate de Cinca	1	Hombre	06	El Extranjero	143,5322590408
22008	Albalatillo	1	Hombre	01	El mismo municipio que reside	57,9998998814
22008	Albalatillo	1	Hombre	02	Otro municipio de la misma provincia	31,5536697289
22008	Albalatillo	1	Hombre	03	Otro municipio de Aragón	1,3210128622
22008	Albalatillo	1	Hombre	04	En una provincia limítrofe a Aragón	1,3850317216
22008	Albalatillo	1	Hombre	05	Resto de España	14,863440824
22008	Albalatillo	1	Hombre	06	El Extranjero	5,6414056596
22009	Albelda	1	Hombre	01	El mismo municipio que reside	213,6300807644
22009	Albelda	1	Hombre	02	Otro municipio de la misma provincia	54,4937052955
22009	Albelda	1	Hombre	03	Otro municipio de Aragón	14,4309894056
22009	Albelda	1	Hombre	04	En una provincia limítrofe a Aragón	99,3387049866
22009	Albelda	1	Hombre	05	Resto de España	47,3211895343
22009	Albelda	1	Hombre	06	El Extranjero	4,3311838122
22011	Albero Alto	1	Hombre	01	El mismo municipio que reside	15,1170229265
22011	Albero Alto	1	Hombre	02	Otro municipio de la misma provincia	48,2474001951
22011	Albero Alto	1	Hombre	03	Otro municipio de Aragón	2,299729396
22011	Albero Alto	1	Hombre	05	Resto de España	7,9273441855
22011	Albero Alto	1	Hombre	06	El Extranjero	0,8966113446
22012	Albero Bajo	1	Hombre	01	El mismo municipio que reside	28,7834586743
22012	Albero Bajo	1	Hombre	02	Otro municipio de la misma provincia	17,1359518626
22012	Albero Bajo	1	Hombre	03	Otro municipio de Aragón	2,8491633341
22012	Albero Bajo	1	Hombre	04	En una provincia limítrofe a Aragón	2,1057985285
22012	Albero Bajo	1	Hombre	05	Resto de España	9,1256276004
22013	Alberuela de Tubo	1	Hombre	01	El mismo municipio que reside	46,572717388
22013	Alberuela de Tubo	1	Hombre	02	Otro municipio de la misma provincia	102,9505649341
22013	Alberuela de Tubo	1	Hombre	03	Otro municipio de Aragón	13,4535317538
22013	Alberuela de Tubo	1	Hombre	04	En una provincia limítrofe a Aragón	1,4189558168
22013	Alberuela de Tubo	1	Hombre	05	Resto de España	11,8364205737
22013	Alberuela de Tubo	1	Hombre	06	El Extranjero	2,0581636958
22014	Alcalá de Gurrea	1	Hombre	01	El mismo municipio que reside	85,6611378963
22014	Alcalá de Gurrea	1	Hombre	02	Otro municipio de la misma provincia	43,2511885071
22014	Alcalá de Gurrea	1	Hombre	03	Otro municipio de Aragón	12,2134239351
22014	Alcalá de Gurrea	1	Hombre	04	En una provincia limítrofe a Aragón	1,5798830185
22014	Alcalá de Gurrea	1	Hombre	05	Resto de España	1,2943666435
22015	Alcalá del Obispo	1	Hombre	01	El mismo municipio que reside	51,9222205877
22015	Alcalá del Obispo	1	Hombre	02	Otro municipio de la misma provincia	96,2390165092
22015	Alcalá del Obispo	1	Hombre	03	Otro municipio de Aragón	11,9157722428
22015	Alcalá del Obispo	1	Hombre	05	Resto de España	31,7796993413
22016	Alcampell	1	Hombre	01	El mismo municipio que reside	189,2712806883
22016	Alcampell	1	Hombre	02	Otro municipio de la misma provincia	63,1811054176
22016	Alcampell	1	Hombre	03	Otro municipio de Aragón	8,6307085587
22016	Alcampell	1	Hombre	04	En una provincia limítrofe a Aragón	45,5376879105
22016	Alcampell	1	Hombre	05	Resto de España	63,6603673258
22016	Alcampell	1	Hombre	06	El Extranjero	5,3513285694
22017	Alcolea de Cinca	1	Hombre	01	El mismo municipio que reside	313,9459995167
22017	Alcolea de Cinca	1	Hombre	02	Otro municipio de la misma provincia	116,1066554938
22017	Alcolea de Cinca	1	Hombre	03	Otro municipio de Aragón	28,6869923484
22017	Alcolea de Cinca	1	Hombre	04	En una provincia limítrofe a Aragón	43,8370863568
22017	Alcolea de Cinca	1	Hombre	05	Resto de España	41,1313611671
22017	Alcolea de Cinca	1	Hombre	06	El Extranjero	46,4911207979
22018	Alcubierre	1	Hombre	01	El mismo municipio que reside	110,8803344111
22018	Alcubierre	1	Hombre	02	Otro municipio de la misma provincia	57,9972722728
22018	Alcubierre	1	Hombre	03	Otro municipio de Aragón	20,9298286181
22018	Alcubierre	1	Hombre	04	En una provincia limítrofe a Aragón	2,8615571937
22018	Alcubierre	1	Hombre	05	Resto de España	12,0555986693
22018	Alcubierre	1	Hombre	06	El Extranjero	17,5657629975
22019	Alerre	1	Hombre	01	El mismo municipio que reside	17,0737115775
22019	Alerre	1	Hombre	02	Otro municipio de la misma provincia	65,4308863928
22019	Alerre	1	Hombre	03	Otro municipio de Aragón	6,1742174659
22019	Alerre	1	Hombre	04	En una provincia limítrofe a Aragón	2,9401033091
22019	Alerre	1	Hombre	05	Resto de España	17,188854057
22019	Alerre	1	Hombre	06	El Extranjero	2,8557901031
22020	Alfántega	1	Hombre	01	El mismo municipio que reside	25,3906347709
22020	Alfántega	1	Hombre	02	Otro municipio de la misma provincia	24,4796631151
22020	Alfántega	1	Hombre	03	Otro municipio de Aragón	1,3092500918
22020	Alfántega	1	Hombre	04	En una provincia limítrofe a Aragón	0,9516762504
22020	Alfántega	1	Hombre	05	Resto de España	10,7216565552
22020	Alfántega	1	Hombre	06	El Extranjero	1,8290963004
22021	Almudévar	1	Hombre	01	El mismo municipio que reside	489,1340317506
22021	Almudévar	1	Hombre	02	Otro municipio de la misma provincia	483,4717485377
22021	Almudévar	1	Hombre	03	Otro municipio de Aragón	170,3754115677
22021	Almudévar	1	Hombre	04	En una provincia limítrofe a Aragón	21,8366388217
22021	Almudévar	1	Hombre	05	Resto de España	88,6564173691
22021	Almudévar	1	Hombre	06	El Extranjero	29,2946608668
22022	Almunia de San Juan	1	Hombre	01	El mismo municipio que reside	148,0618802831
22022	Almunia de San Juan	1	Hombre	02	Otro municipio de la misma provincia	138,2612146906
22022	Almunia de San Juan	1	Hombre	03	Otro municipio de Aragón	8,4863247823
22022	Almunia de San Juan	1	Hombre	04	En una provincia limítrofe a Aragón	9,6970197718
22022	Almunia de San Juan	1	Hombre	05	Resto de España	32,8398714313
22022	Almunia de San Juan	1	Hombre	06	El Extranjero	2,8415253402
22023	Almuniente	1	Hombre	01	El mismo municipio que reside	82,3095849272
22023	Almuniente	1	Hombre	02	Otro municipio de la misma provincia	109,8738705217
22023	Almuniente	1	Hombre	03	Otro municipio de Aragón	51,1824644533
22023	Almuniente	1	Hombre	04	En una provincia limítrofe a Aragón	12,1705453334
22023	Almuniente	1	Hombre	05	Resto de España	24,0090279419
22023	Almuniente	1	Hombre	06	El Extranjero	4,4545068229
22024	Alquézar	1	Hombre	01	El mismo municipio que reside	56,2753425897
22024	Alquézar	1	Hombre	02	Otro municipio de la misma provincia	56,2526875114
22024	Alquézar	1	Hombre	03	Otro municipio de Aragón	5,4523385277
22024	Alquézar	1	Hombre	05	Resto de España	10,5849078454
22024	Alquézar	1	Hombre	06	El Extranjero	24,5438852945
22025	Altorricón	1	Hombre	01	El mismo municipio que reside	235,130943342
22025	Altorricón	1	Hombre	02	Otro municipio de la misma provincia	106,8947042864
22025	Altorricón	1	Hombre	03	Otro municipio de Aragón	18,2060183267
22025	Altorricón	1	Hombre	04	En una provincia limítrofe a Aragón	242,2996229452
22025	Altorricón	1	Hombre	05	Resto de España	50,7881571082
22025	Altorricón	1	Hombre	06	El Extranjero	149,4306099151
22027	Angüés	1	Hombre	01	El mismo municipio que reside	51,3678258284
22027	Angüés	1	Hombre	02	Otro municipio de la misma provincia	62,0030195893
22027	Angüés	1	Hombre	03	Otro municipio de Aragón	17,6401894822
22027	Angüés	1	Hombre	04	En una provincia limítrofe a Aragón	2,6335734395
22027	Angüés	1	Hombre	05	Resto de España	36,891523178
22027	Angüés	1	Hombre	06	El Extranjero	16,6190664818
22028	Ansó	1	Hombre	01	El mismo municipio que reside	120,1331025154
22028	Ansó	1	Hombre	02	Otro municipio de la misma provincia	60,6191430174
22028	Ansó	1	Hombre	03	Otro municipio de Aragón	28,9323572418
22028	Ansó	1	Hombre	05	Resto de España	25,327728316
22028	Ansó	1	Hombre	06	El Extranjero	0,939224909
22029	Antillón	1	Hombre	01	El mismo municipio que reside	32,0122336385
22029	Antillón	1	Hombre	02	Otro municipio de la misma provincia	37,9231290613
22029	Antillón	1	Hombre	03	Otro municipio de Aragón	1,0037962565
22029	Antillón	1	Hombre	05	Resto de España	1,055749944
22029	Antillón	1	Hombre	06	El Extranjero	1,0050910989
22032	Aragüés del Puerto	1	Hombre	01	El mismo municipio que reside	41,2915428577
22032	Aragüés del Puerto	1	Hombre	02	Otro municipio de la misma provincia	18,6925389136
22032	Aragüés del Puerto	1	Hombre	03	Otro municipio de Aragón	9,2628448367
22032	Aragüés del Puerto	1	Hombre	04	En una provincia limítrofe a Aragón	1,4394359215
22032	Aragüés del Puerto	1	Hombre	05	Resto de España	2,5254026899
22035	Arén	1	Hombre	01	El mismo municipio que reside	86,5545149289
22035	Arén	1	Hombre	02	Otro municipio de la misma provincia	16,0166971888
22035	Arén	1	Hombre	03	Otro municipio de Aragón	3,630765979
22035	Arén	1	Hombre	04	En una provincia limítrofe a Aragón	31,9891782438
22035	Arén	1	Hombre	05	Resto de España	19,4142345071
22035	Arén	1	Hombre	06	El Extranjero	11,1117623841
22036	Argavieso	1	Hombre	01	El mismo municipio que reside	33,0658947851
22036	Argavieso	1	Hombre	02	Otro municipio de la misma provincia	25,0208726351
22036	Argavieso	1	Hombre	04	En una provincia limítrofe a Aragón	2,670960013
22036	Argavieso	1	Hombre	05	Resto de España	1,2963792649
22036	Argavieso	1	Hombre	06	El Extranjero	4,2362474648
22037	Arguis	1	Hombre	01	El mismo municipio que reside	29,9254534998
22037	Arguis	1	Hombre	02	Otro municipio de la misma provincia	33,4294432391
22037	Arguis	1	Hombre	03	Otro municipio de Aragón	1,7466121519
22037	Arguis	1	Hombre	04	En una provincia limítrofe a Aragón	3,2703432477
22037	Arguis	1	Hombre	05	Resto de España	5,6281478615
22039	Ayerbe	1	Hombre	01	El mismo municipio que reside	260,9456512545
22039	Ayerbe	1	Hombre	02	Otro municipio de la misma provincia	136,2968383715
22039	Ayerbe	1	Hombre	03	Otro municipio de Aragón	57,0613693014
22039	Ayerbe	1	Hombre	04	En una provincia limítrofe a Aragón	6,6532027407
22039	Ayerbe	1	Hombre	05	Resto de España	58,2795057427
22039	Ayerbe	1	Hombre	06	El Extranjero	31,8443644633
22040	Azanuy-Alins	1	Hombre	01	El mismo municipio que reside	46,5577008115
22040	Azanuy-Alins	1	Hombre	02	Otro municipio de la misma provincia	13,9625326409
22040	Azanuy-Alins	1	Hombre	03	Otro municipio de Aragón	2,455843885
22040	Azanuy-Alins	1	Hombre	04	En una provincia limítrofe a Aragón	2,7617410031
22040	Azanuy-Alins	1	Hombre	05	Resto de España	19,0876002776
22040	Azanuy-Alins	1	Hombre	06	El Extranjero	1,3454810698
22041	Azara	1	Hombre	01	El mismo municipio que reside	50,6820551405
22041	Azara	1	Hombre	02	Otro municipio de la misma provincia	45,4300001091
22041	Azara	1	Hombre	05	Resto de España	6,4987402004
22041	Azara	1	Hombre	06	El Extranjero	1,3892045503
22042	Azlor	1	Hombre	01	El mismo municipio que reside	31,5290268924
22042	Azlor	1	Hombre	02	Otro municipio de la misma provincia	27,3095216354
22042	Azlor	1	Hombre	05	Resto de España	4,236273444
22042	Azlor	1	Hombre	06	El Extranjero	2,3920742716
22043	Baells	1	Hombre	01	El mismo municipio que reside	54,8502306005
22043	Baells	1	Hombre	02	Otro municipio de la misma provincia	3,23627377
22043	Baells	1	Hombre	04	En una provincia limítrofe a Aragón	8,5769027211
22043	Baells	1	Hombre	05	Resto de España	6,61302067
22044	Bailo	1	Hombre	01	El mismo municipio que reside	101,7038467397
22044	Bailo	1	Hombre	02	Otro municipio de la misma provincia	39,4655731895
22044	Bailo	1	Hombre	03	Otro municipio de Aragón	9,1785763672
22044	Bailo	1	Hombre	04	En una provincia limítrofe a Aragón	4,9395251138
22044	Bailo	1	Hombre	05	Resto de España	18,6363986444
22044	Bailo	1	Hombre	06	El Extranjero	11,6431246574
22045	Baldellou	1	Hombre	01	El mismo municipio que reside	36,882115086
22045	Baldellou	1	Hombre	02	Otro municipio de la misma provincia	3,1530536801
22045	Baldellou	1	Hombre	04	En una provincia limítrofe a Aragón	9,8394839189
22045	Baldellou	1	Hombre	05	Resto de España	4,7577783287
22045	Baldellou	1	Hombre	06	El Extranjero	3,2867070974
22046	Ballobar	1	Hombre	01	El mismo municipio que reside	339,3266792255
22046	Ballobar	1	Hombre	02	Otro municipio de la misma provincia	38,1121652421
22046	Ballobar	1	Hombre	03	Otro municipio de Aragón	3,6635693
22046	Ballobar	1	Hombre	04	En una provincia limítrofe a Aragón	22,8244883417
22046	Ballobar	1	Hombre	05	Resto de España	14,3269120391
22046	Ballobar	1	Hombre	06	El Extranjero	62,5993412809
22047	Banastás	1	Hombre	01	El mismo municipio que reside	23,0198112692
22047	Banastás	1	Hombre	02	Otro municipio de la misma provincia	87,6525153528
22047	Banastás	1	Hombre	03	Otro municipio de Aragón	10,4076208077
22047	Banastás	1	Hombre	04	En una provincia limítrofe a Aragón	5,1110678518
22047	Banastás	1	Hombre	05	Resto de España	17,6117401591
22047	Banastás	1	Hombre	06	El Extranjero	2,6853526081
22048	Barbastro	1	Hombre	01	El mismo municipio que reside	3928,5939253653
22048	Barbastro	1	Hombre	02	Otro municipio de la misma provincia	1683,0337253699
22048	Barbastro	1	Hombre	03	Otro municipio de Aragón	224,966036838
22048	Barbastro	1	Hombre	04	En una provincia limítrofe a Aragón	306,4039856552
22048	Barbastro	1	Hombre	05	Resto de España	1088,0438624858
22048	Barbastro	1	Hombre	06	El Extranjero	1118,8944329879
22049	Barbués	1	Hombre	01	El mismo municipio que reside	25,4366502522
22049	Barbués	1	Hombre	02	Otro municipio de la misma provincia	22,793708714
22049	Barbués	1	Hombre	03	Otro municipio de Aragón	1,959606723
22049	Barbués	1	Hombre	05	Resto de España	4,4735972159
22050	Barbuñales	1	Hombre	01	El mismo municipio que reside	20,2035358546
22050	Barbuñales	1	Hombre	02	Otro municipio de la misma provincia	27,3178895153
22050	Barbuñales	1	Hombre	03	Otro municipio de Aragón	1,7413398842
22050	Barbuñales	1	Hombre	05	Resto de España	3,0499246105
22051	Bárcabo	1	Hombre	01	El mismo municipio que reside	39,237798644
22051	Bárcabo	1	Hombre	02	Otro municipio de la misma provincia	19,6359129371
22051	Bárcabo	1	Hombre	03	Otro municipio de Aragón	3,0294084507
22051	Bárcabo	1	Hombre	04	En una provincia limítrofe a Aragón	1,6288227851
22051	Bárcabo	1	Hombre	05	Resto de España	3,3672303979
22051	Bárcabo	1	Hombre	06	El Extranjero	2,3646471596
22052	Belver de Cinca	1	Hombre	01	El mismo municipio que reside	359,3934135905
22052	Belver de Cinca	1	Hombre	02	Otro municipio de la misma provincia	123,438851146
22052	Belver de Cinca	1	Hombre	03	Otro municipio de Aragón	9,1820336584
22052	Belver de Cinca	1	Hombre	04	En una provincia limítrofe a Aragón	86,4040007219
22052	Belver de Cinca	1	Hombre	05	Resto de España	42,6377933583
22052	Belver de Cinca	1	Hombre	06	El Extranjero	118,104945601
22053	Benabarre	1	Hombre	01	El mismo municipio que reside	251,939263584
22053	Benabarre	1	Hombre	02	Otro municipio de la misma provincia	114,1998899804
22053	Benabarre	1	Hombre	03	Otro municipio de Aragón	3,9120702487
22053	Benabarre	1	Hombre	04	En una provincia limítrofe a Aragón	51,7056763419
22053	Benabarre	1	Hombre	05	Resto de España	69,3207551014
22053	Benabarre	1	Hombre	06	El Extranjero	105,8721135066
22054	Benasque	1	Hombre	01	El mismo municipio que reside	245,2703703531
22054	Benasque	1	Hombre	02	Otro municipio de la misma provincia	322,6516358805
22054	Benasque	1	Hombre	03	Otro municipio de Aragón	108,8480204675
22054	Benasque	1	Hombre	04	En una provincia limítrofe a Aragón	44,6877928032
22054	Benasque	1	Hombre	05	Resto de España	277,3770547962
22054	Benasque	1	Hombre	06	El Extranjero	132,8083166497
22055	Berbegal	1	Hombre	01	El mismo municipio que reside	106,575362097
22055	Berbegal	1	Hombre	02	Otro municipio de la misma provincia	70,9686378356
22055	Berbegal	1	Hombre	03	Otro municipio de Aragón	2,3213024298
22055	Berbegal	1	Hombre	04	En una provincia limítrofe a Aragón	3,3696426436
22055	Berbegal	1	Hombre	05	Resto de España	10,7109857648
22055	Berbegal	1	Hombre	06	El Extranjero	15,5104035753
22057	Bielsa	1	Hombre	01	El mismo municipio que reside	118,7036940934
22057	Bielsa	1	Hombre	02	Otro municipio de la misma provincia	30,1131000303
22057	Bielsa	1	Hombre	03	Otro municipio de Aragón	26,5221406212
22057	Bielsa	1	Hombre	05	Resto de España	66,0217287537
22057	Bielsa	1	Hombre	06	El Extranjero	9,1958143104
22058	Bierge	1	Hombre	01	El mismo municipio que reside	45,5109075161
22058	Bierge	1	Hombre	02	Otro municipio de la misma provincia	42,9999349044
22058	Bierge	1	Hombre	03	Otro municipio de Aragón	8,2640537691
22058	Bierge	1	Hombre	05	Resto de España	33,4194651169
22058	Bierge	1	Hombre	06	El Extranjero	8,2511183574
22059	Biescas	1	Hombre	01	El mismo municipio que reside	292,4642730138
22059	Biescas	1	Hombre	02	Otro municipio de la misma provincia	201,2569826361
22059	Biescas	1	Hombre	03	Otro municipio de Aragón	110,4827646987
22059	Biescas	1	Hombre	04	En una provincia limítrofe a Aragón	14,859081086
22059	Biescas	1	Hombre	05	Resto de España	91,8323279879
22059	Biescas	1	Hombre	06	El Extranjero	108,2518115638
22060	Binaced	1	Hombre	01	El mismo municipio que reside	413,0283335082
22060	Binaced	1	Hombre	02	Otro municipio de la misma provincia	155,0785558136
22060	Binaced	1	Hombre	03	Otro municipio de Aragón	2,6213639418
22060	Binaced	1	Hombre	04	En una provincia limítrofe a Aragón	51,4512354759
22060	Binaced	1	Hombre	05	Resto de España	38,9314521799
22060	Binaced	1	Hombre	06	El Extranjero	135,3058371803
22061	Binéfar	1	Hombre	01	El mismo municipio que reside	1765,3385860732
22061	Binéfar	1	Hombre	02	Otro municipio de la misma provincia	1205,0572524324
22061	Binéfar	1	Hombre	03	Otro municipio de Aragón	238,8064154625
22061	Binéfar	1	Hombre	04	En una provincia limítrofe a Aragón	307,3615279016
22061	Binéfar	1	Hombre	05	Resto de España	507,0727076144
22061	Binéfar	1	Hombre	06	El Extranjero	906,1391555851
22062	Bisaurri	1	Hombre	01	El mismo municipio que reside	31,549763215
22062	Bisaurri	1	Hombre	02	Otro municipio de la misma provincia	59,438335435
22062	Bisaurri	1	Hombre	04	En una provincia limítrofe a Aragón	5,7163644543
22062	Bisaurri	1	Hombre	05	Resto de España	8,2955368962
22063	Biscarrués	1	Hombre	01	El mismo municipio que reside	71,6019159153
22063	Biscarrués	1	Hombre	02	Otro municipio de la misma provincia	18,2709274049
22063	Biscarrués	1	Hombre	03	Otro municipio de Aragón	20,5651832475
22063	Biscarrués	1	Hombre	05	Resto de España	7,9515952559
22063	Biscarrués	1	Hombre	06	El Extranjero	2,4495508408
22064	Blecua y Torres	1	Hombre	01	El mismo municipio que reside	34,4533323956
22064	Blecua y Torres	1	Hombre	02	Otro municipio de la misma provincia	58,5152943486
22064	Blecua y Torres	1	Hombre	04	En una provincia limítrofe a Aragón	3,5654838984
22064	Blecua y Torres	1	Hombre	05	Resto de España	11,1771247046
22064	Blecua y Torres	1	Hombre	06	El Extranjero	7,2887646524
22066	Boltaña	1	Hombre	01	El mismo municipio que reside	171,7935424052
22066	Boltaña	1	Hombre	02	Otro municipio de la misma provincia	121,2966572443
22066	Boltaña	1	Hombre	03	Otro municipio de Aragón	12,4489000263
22066	Boltaña	1	Hombre	04	En una provincia limítrofe a Aragón	9,1029649698
22066	Boltaña	1	Hombre	05	Resto de España	91,561299295
22066	Boltaña	1	Hombre	06	El Extranjero	155,0865872163
22067	Bonansa	1	Hombre	01	El mismo municipio que reside	19,7883761631
22067	Bonansa	1	Hombre	02	Otro municipio de la misma provincia	8,8517636143
22067	Bonansa	1	Hombre	03	Otro municipio de Aragón	1,8674822119
22067	Bonansa	1	Hombre	04	En una provincia limítrofe a Aragón	10,2470754779
22067	Bonansa	1	Hombre	05	Resto de España	9,9239933107
22067	Bonansa	1	Hombre	06	El Extranjero	4,321309222
22068	Borau	1	Hombre	01	El mismo municipio que reside	18,853595673
22068	Borau	1	Hombre	02	Otro municipio de la misma provincia	27,9772411351
22068	Borau	1	Hombre	03	Otro municipio de Aragón	2,1691631917
22069	Broto	1	Hombre	01	El mismo municipio que reside	117,5752791163
22069	Broto	1	Hombre	02	Otro municipio de la misma provincia	52,5244103541
22069	Broto	1	Hombre	03	Otro municipio de Aragón	18,1566614422
22069	Broto	1	Hombre	04	En una provincia limítrofe a Aragón	9,4657300539
22069	Broto	1	Hombre	05	Resto de España	38,2802289926
22069	Broto	1	Hombre	06	El Extranjero	41,3152363979
22072	Caldearenas	1	Hombre	01	El mismo municipio que reside	53,7160760968
22072	Caldearenas	1	Hombre	02	Otro municipio de la misma provincia	28,6418815552
22072	Caldearenas	1	Hombre	03	Otro municipio de Aragón	13,8810228573
22072	Caldearenas	1	Hombre	04	En una provincia limítrofe a Aragón	10,2651472654
22072	Caldearenas	1	Hombre	05	Resto de España	18,8979842495
22072	Caldearenas	1	Hombre	06	El Extranjero	7,1232672604
22074	Campo	1	Hombre	01	El mismo municipio que reside	52,1117742622
22074	Campo	1	Hombre	02	Otro municipio de la misma provincia	40,5067582541
22074	Campo	1	Hombre	03	Otro municipio de Aragón	6,1609025662
22074	Campo	1	Hombre	05	Resto de España	20,4223255894
22074	Campo	1	Hombre	06	El Extranjero	33,0542575928
22075	Camporrells	1	Hombre	01	El mismo municipio que reside	38,8315238651
22075	Camporrells	1	Hombre	02	Otro municipio de la misma provincia	16,5975739943
22075	Camporrells	1	Hombre	03	Otro municipio de Aragón	5,3206616292
22075	Camporrells	1	Hombre	04	En una provincia limítrofe a Aragón	20,5019521874
22075	Camporrells	1	Hombre	05	Resto de España	7,5847370233
22075	Camporrells	1	Hombre	06	El Extranjero	3,9056762766
22076	Canal de Berdún	1	Hombre	01	El mismo municipio que reside	132,4013508236
22076	Canal de Berdún	1	Hombre	02	Otro municipio de la misma provincia	34,153351971
22076	Canal de Berdún	1	Hombre	03	Otro municipio de Aragón	12,6147333579
22076	Canal de Berdún	1	Hombre	04	En una provincia limítrofe a Aragón	1,3892419635
22076	Canal de Berdún	1	Hombre	05	Resto de España	7,3977778259
22076	Canal de Berdún	1	Hombre	06	El Extranjero	18,0680896958
22077	Candasnos	1	Hombre	01	El mismo municipio que reside	100,3405635502
22077	Candasnos	1	Hombre	02	Otro municipio de la misma provincia	2,5147208134
22077	Candasnos	1	Hombre	03	Otro municipio de Aragón	19,2146932381
22077	Candasnos	1	Hombre	04	En una provincia limítrofe a Aragón	28,0771924863
22077	Candasnos	1	Hombre	05	Resto de España	12,1961762941
22077	Candasnos	1	Hombre	06	El Extranjero	42,6566536182
22078	Canfranc	1	Hombre	01	El mismo municipio que reside	69,1874701584
22078	Canfranc	1	Hombre	02	Otro municipio de la misma provincia	66,2201108616
22078	Canfranc	1	Hombre	03	Otro municipio de Aragón	71,5575226957
22078	Canfranc	1	Hombre	04	En una provincia limítrofe a Aragón	37,5601422317
22078	Canfranc	1	Hombre	05	Resto de España	55,6479941603
22078	Canfranc	1	Hombre	06	El Extranjero	31,7679054432
22079	Capdesaso	1	Hombre	01	El mismo municipio que reside	40,2763576864
22079	Capdesaso	1	Hombre	02	Otro municipio de la misma provincia	17,4486101503
22079	Capdesaso	1	Hombre	03	Otro municipio de Aragón	3,0960770913
22079	Capdesaso	1	Hombre	05	Resto de España	8,178955072
22080	Capella	1	Hombre	01	El mismo municipio que reside	106,9742562057
22080	Capella	1	Hombre	02	Otro municipio de la misma provincia	59,4268247958
22080	Capella	1	Hombre	03	Otro municipio de Aragón	1,9705010123
22080	Capella	1	Hombre	04	En una provincia limítrofe a Aragón	3,0128131236
22080	Capella	1	Hombre	05	Resto de España	8,0347893532
22080	Capella	1	Hombre	06	El Extranjero	12,9564604905
22081	Casbas de Huesca	1	Hombre	01	El mismo municipio que reside	74,0071056427
22081	Casbas de Huesca	1	Hombre	02	Otro municipio de la misma provincia	62,4803517044
22081	Casbas de Huesca	1	Hombre	03	Otro municipio de Aragón	1,1256370624
22081	Casbas de Huesca	1	Hombre	04	En una provincia limítrofe a Aragón	8,2053505442
22081	Casbas de Huesca	1	Hombre	05	Resto de España	6,4518504011
22081	Casbas de Huesca	1	Hombre	06	El Extranjero	10,0200588074
22082	Castejón del Puente	1	Hombre	01	El mismo municipio que reside	27,6699150359
22082	Castejón del Puente	1	Hombre	02	Otro municipio de la misma provincia	107,8905411276
22082	Castejón del Puente	1	Hombre	03	Otro municipio de Aragón	4,3672090461
22082	Castejón del Puente	1	Hombre	04	En una provincia limítrofe a Aragón	8,015244235
22082	Castejón del Puente	1	Hombre	05	Resto de España	27,9001921427
22082	Castejón del Puente	1	Hombre	06	El Extranjero	5,1666929208
22083	Castejón de Monegros	1	Hombre	01	El mismo municipio que reside	174,1196836864
22083	Castejón de Monegros	1	Hombre	02	Otro municipio de la misma provincia	34,9417234088
22083	Castejón de Monegros	1	Hombre	03	Otro municipio de Aragón	31,7756913319
22083	Castejón de Monegros	1	Hombre	05	Resto de España	20,0698850114
