Mes y año	Municipio código	Municipio nombre	Temporalidad	Sexo	Afiliaciones en alta
Marzo 2010	22001	Abiego	Indefinido	Hombres	14
Marzo 2010	22001	Abiego	Indefinido	Mujeres	6
Marzo 2010	22002	Abizanda	Indefinido	Hombres	10
Marzo 2010	22002	Abizanda	Indefinido	Mujeres	10
Marzo 2010	22004	Agüero	Indefinido	Hombres	3
Marzo 2010	22004	Agüero	Indefinido	Mujeres	4
Marzo 2010	22006	Aísa	Indefinido	Hombres	162
Marzo 2010	22006	Aísa	Indefinido	Mujeres	78
Marzo 2010	22007	Albalate de Cinca	Indefinido	Hombres	55
Marzo 2010	22007	Albalate de Cinca	Indefinido	Mujeres	91
Marzo 2010	22008	Albalatillo	Indefinido	Hombres	4
Marzo 2010	22008	Albalatillo	Indefinido	Mujeres	4
Marzo 2010	22009	Albelda	Indefinido	Hombres	23
Marzo 2010	22009	Albelda	Indefinido	Mujeres	40
Marzo 2010	22011	Albero Alto	Indefinido	Hombres	1
Marzo 2010	22012	Albero Bajo	Indefinido	Hombres	19
Marzo 2010	22012	Albero Bajo	Indefinido	Mujeres	3
Marzo 2010	22013	Alberuela de Tubo	Indefinido	Hombres	6
Marzo 2010	22013	Alberuela de Tubo	Indefinido	Mujeres	6
Marzo 2010	22014	Alcalá de Gurrea	Indefinido	Hombres	19
Marzo 2010	22014	Alcalá de Gurrea	Indefinido	Mujeres	8
Marzo 2010	22015	Alcalá del Obispo	Indefinido	Hombres	9
Marzo 2010	22015	Alcalá del Obispo	Indefinido	Mujeres	7
Marzo 2010	22016	Alcampell	Indefinido	Hombres	33
Marzo 2010	22016	Alcampell	Indefinido	Mujeres	29
Marzo 2010	22017	Alcolea de Cinca	Indefinido	Hombres	180
Marzo 2010	22017	Alcolea de Cinca	Indefinido	Mujeres	52
Marzo 2010	22018	Alcubierre	Indefinido	Hombres	12
Marzo 2010	22018	Alcubierre	Indefinido	Mujeres	9
Marzo 2010	22019	Alerre	Indefinido	Hombres	5
Marzo 2010	22020	Alfántega	Indefinido	Hombres	3
Marzo 2010	22020	Alfántega	Indefinido	Mujeres	3
Marzo 2010	22021	Almudévar	Indefinido	Hombres	221
Marzo 2010	22021	Almudévar	Indefinido	Mujeres	119
Marzo 2010	22022	Almunia de San Juan	Indefinido	Hombres	38
Marzo 2010	22022	Almunia de San Juan	Indefinido	Mujeres	10
Marzo 2010	22023	Almuniente	Indefinido	Hombres	35
Marzo 2010	22023	Almuniente	Indefinido	Mujeres	15
Marzo 2010	22024	Alquézar	Indefinido	Hombres	23
Marzo 2010	22024	Alquézar	Indefinido	Mujeres	15
Marzo 2010	22025	Altorricón	Indefinido	Hombres	201
Marzo 2010	22025	Altorricón	Indefinido	Mujeres	76
Marzo 2010	22027	Angüés	Indefinido	Hombres	4
Marzo 2010	22027	Angüés	Indefinido	Mujeres	22
Marzo 2010	22028	Ansó	Indefinido	Hombres	7
Marzo 2010	22028	Ansó	Indefinido	Mujeres	12
Marzo 2010	22029	Antillón	Indefinido	Hombres	4
Marzo 2010	22032	Aragüés del Puerto	Indefinido	Hombres	2
Marzo 2010	22032	Aragüés del Puerto	Indefinido	Mujeres	2
Marzo 2010	22035	Arén	Indefinido	Hombres	2
Marzo 2010	22035	Arén	Indefinido	Mujeres	16
Marzo 2010	22036	Argavieso	Indefinido	Hombres	1
Marzo 2010	22037	Arguis	Indefinido	Hombres	2
Marzo 2010	22037	Arguis	Indefinido	Mujeres	3
Marzo 2010	22039	Ayerbe	Indefinido	Hombres	68
Marzo 2010	22039	Ayerbe	Indefinido	Mujeres	44
Marzo 2010	22040	Azanuy-Alins	Indefinido	Hombres	4
Marzo 2010	22040	Azanuy-Alins	Indefinido	Mujeres	1
Marzo 2010	22041	Azara	Indefinido	Hombres	8
Marzo 2010	22041	Azara	Indefinido	Mujeres	2
Marzo 2010	22042	Azlor	Indefinido	Hombres	1
Marzo 2010	22043	Baells	Indefinido	Hombres	4
Marzo 2010	22043	Baells	Indefinido	Mujeres	1
Marzo 2010	22044	Bailo	Indefinido	Hombres	3
Marzo 2010	22044	Bailo	Indefinido	Mujeres	1
Marzo 2010	22045	Baldellou	Indefinido	Hombres	1
Marzo 2010	22045	Baldellou	Indefinido	Mujeres	2
Marzo 2010	22046	Ballobar	Indefinido	Hombres	105
Marzo 2010	22046	Ballobar	Indefinido	Mujeres	22
Marzo 2010	22047	Banastás	Indefinido	Hombres	19
Marzo 2010	22047	Banastás	Indefinido	Mujeres	11
Marzo 2010	22048	Barbastro	Indefinido	Hombres	1522
Marzo 2010	22048	Barbastro	Indefinido	Mujeres	1091
Marzo 2010	22050	Barbuñales	Indefinido	Hombres	2
Marzo 2010	22051	Bárcabo	Indefinido	Mujeres	1
Marzo 2010	22052	Belver de Cinca	Indefinido	Hombres	20
Marzo 2010	22052	Belver de Cinca	Indefinido	Mujeres	31
Marzo 2010	22053	Benabarre	Indefinido	Hombres	65
Marzo 2010	22053	Benabarre	Indefinido	Mujeres	53
Marzo 2010	22054	Benasque	Indefinido	Hombres	252
Marzo 2010	22054	Benasque	Indefinido	Mujeres	260
Marzo 2010	22055	Berbegal	Indefinido	Hombres	20
Marzo 2010	22055	Berbegal	Indefinido	Mujeres	2
Marzo 2010	22057	Bielsa	Indefinido	Hombres	36
Marzo 2010	22057	Bielsa	Indefinido	Mujeres	30
Marzo 2010	22058	Bierge	Indefinido	Hombres	2
Marzo 2010	22058	Bierge	Indefinido	Mujeres	3
Marzo 2010	22059	Biescas	Indefinido	Hombres	64
Marzo 2010	22059	Biescas	Indefinido	Mujeres	98
Marzo 2010	22060	Binaced	Indefinido	Hombres	115
Marzo 2010	22060	Binaced	Indefinido	Mujeres	67
Marzo 2010	22061	Binéfar	Indefinido	Hombres	1519
Marzo 2010	22061	Binéfar	Indefinido	Mujeres	751
Marzo 2010	22062	Bisaurri	Indefinido	Hombres	21
Marzo 2010	22062	Bisaurri	Indefinido	Mujeres	19
Marzo 2010	22063	Biscarrués	Indefinido	Hombres	1
Marzo 2010	22064	Blecua y Torres	Indefinido	Hombres	1
Marzo 2010	22064	Blecua y Torres	Indefinido	Mujeres	1
Marzo 2010	22066	Boltaña	Indefinido	Hombres	60
Marzo 2010	22066	Boltaña	Indefinido	Mujeres	104
Marzo 2010	22067	Bonansa	Indefinido	Hombres	1
Marzo 2010	22067	Bonansa	Indefinido	Mujeres	2
Marzo 2010	22069	Broto	Indefinido	Hombres	17
Marzo 2010	22069	Broto	Indefinido	Mujeres	18
Marzo 2010	22072	Caldearenas	Indefinido	Hombres	4
Marzo 2010	22072	Caldearenas	Indefinido	Mujeres	1
Marzo 2010	22074	Campo	Indefinido	Hombres	18
Marzo 2010	22074	Campo	Indefinido	Mujeres	14
Marzo 2010	22075	Camporrells	Indefinido	Hombres	1
Marzo 2010	22075	Camporrells	Indefinido	Mujeres	1
Marzo 2010	22076	Canal de Berdún	Indefinido	Hombres	17
Marzo 2010	22076	Canal de Berdún	Indefinido	Mujeres	14
Marzo 2010	22077	Candasnos	Indefinido	Hombres	36
Marzo 2010	22077	Candasnos	Indefinido	Mujeres	24
Marzo 2010	22078	Canfranc	Indefinido	Hombres	54
Marzo 2010	22078	Canfranc	Indefinido	Mujeres	61
Marzo 2010	22079	Capdesaso	Indefinido	Hombres	5
Marzo 2010	22079	Capdesaso	Indefinido	Mujeres	1
Marzo 2010	22080	Capella	Indefinido	Hombres	36
Marzo 2010	22080	Capella	Indefinido	Mujeres	14
Marzo 2010	22081	Casbas de Huesca	Indefinido	Hombres	7
Marzo 2010	22081	Casbas de Huesca	Indefinido	Mujeres	8
Marzo 2010	22082	Castejón del Puente	Indefinido	Hombres	109
Marzo 2010	22082	Castejón del Puente	Indefinido	Mujeres	14
Marzo 2010	22083	Castejón de Monegros	Indefinido	Hombres	14
Marzo 2010	22083	Castejón de Monegros	Indefinido	Mujeres	8
Marzo 2010	22084	Castejón de Sos	Indefinido	Hombres	13
Marzo 2010	22084	Castejón de Sos	Indefinido	Mujeres	31
Marzo 2010	22085	Castelflorite	Indefinido	Hombres	14
Marzo 2010	22085	Castelflorite	Indefinido	Mujeres	3
Marzo 2010	22086	Castiello de Jaca	Indefinido	Hombres	10
Marzo 2010	22086	Castiello de Jaca	Indefinido	Mujeres	12
Marzo 2010	22087	Castigaleu	Indefinido	Hombres	3
Marzo 2010	22087	Castigaleu	Indefinido	Mujeres	3
Marzo 2010	22088	Castillazuelo	Indefinido	Hombres	4
Marzo 2010	22088	Castillazuelo	Indefinido	Mujeres	2
Marzo 2010	22089	Castillonroy	Indefinido	Hombres	11
Marzo 2010	22089	Castillonroy	Indefinido	Mujeres	4
Marzo 2010	22090	Colungo	Indefinido	Hombres	3
Marzo 2010	22090	Colungo	Indefinido	Mujeres	1
Marzo 2010	22094	Chalamera	Indefinido	Hombres	1
Marzo 2010	22095	Chía	Indefinido	Mujeres	4
Marzo 2010	22096	Chimillas	Indefinido	Hombres	35
Marzo 2010	22096	Chimillas	Indefinido	Mujeres	42
Marzo 2010	22099	Esplús	Indefinido	Hombres	75
Marzo 2010	22099	Esplús	Indefinido	Mujeres	73
Marzo 2010	22102	Estada	Indefinido	Hombres	7
Marzo 2010	22102	Estada	Indefinido	Mujeres	2
Marzo 2010	22103	Estadilla	Indefinido	Hombres	53
Marzo 2010	22103	Estadilla	Indefinido	Mujeres	18
Marzo 2010	22105	Estopiñán del Castillo	Indefinido	Hombres	24
Marzo 2010	22105	Estopiñán del Castillo	Indefinido	Mujeres	18
Marzo 2010	22107	Fanlo	Indefinido	Hombres	1
Marzo 2010	22107	Fanlo	Indefinido	Mujeres	1
Marzo 2010	22109	Fiscal	Indefinido	Hombres	43
Marzo 2010	22109	Fiscal	Indefinido	Mujeres	15
Marzo 2010	22110	Fonz	Indefinido	Hombres	46
Marzo 2010	22110	Fonz	Indefinido	Mujeres	16
Marzo 2010	22111	Foradada del Toscar	Indefinido	Hombres	3
Marzo 2010	22111	Foradada del Toscar	Indefinido	Mujeres	1
Marzo 2010	22112	Fraga	Indefinido	Hombres	1645
Marzo 2010	22112	Fraga	Indefinido	Mujeres	1422
Marzo 2010	22113	Fueva (La)	Indefinido	Hombres	22
Marzo 2010	22113	Fueva (La)	Indefinido	Mujeres	8
Marzo 2010	22114	Gistaín	Indefinido	Hombres	1
Marzo 2010	22115	Grado (El)	Indefinido	Hombres	130
Marzo 2010	22115	Grado (El)	Indefinido	Mujeres	41
Marzo 2010	22116	Grañén	Indefinido	Hombres	166
Marzo 2010	22116	Grañén	Indefinido	Mujeres	170
Marzo 2010	22117	Graus	Indefinido	Hombres	226
Marzo 2010	22117	Graus	Indefinido	Mujeres	257
Marzo 2010	22119	Gurrea de Gállego	Indefinido	Hombres	130
Marzo 2010	22119	Gurrea de Gállego	Indefinido	Mujeres	80
Marzo 2010	22122	Hoz de Jaca	Indefinido	Hombres	1
Marzo 2010	22124	Huerto	Indefinido	Hombres	7
Marzo 2010	22125	Huesca	Indefinido	Hombres	7120
Marzo 2010	22125	Huesca	Indefinido	Mujeres	6630
Marzo 2010	22126	Ibieca	Indefinido	Hombres	2
Marzo 2010	22127	Igriés	Indefinido	Hombres	42
Marzo 2010	22127	Igriés	Indefinido	Mujeres	24
