Año	Municipio código	Municipio nombre	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
2017	22130	Jaca	31	Fabricación de muebles	2
2017	22130	Jaca	32	Otras industrias manufactureras	10
2017	22130	Jaca	33	Reparación e instalación de maquinaria y equipo	6
2017	22130	Jaca	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	5
2017	22130	Jaca	36	Captación, depuración y distribución de agua	3
2017	22130	Jaca	37	Recogida y tratamiento de aguas residuales	2
2017	22130	Jaca	39	Actividades de descontaminación y otros servicios de gestión de residuos	1
2017	22130	Jaca	41	Construcción de edificios	115
2017	22130	Jaca	42	Ingeniería civil	20
2017	22130	Jaca	43	Actividades de construcción especializada	205
2017	22130	Jaca	45	Venta y reparación de vehículos de motor y motocicletas	56
2017	22130	Jaca	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	86
2017	22130	Jaca	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	568
2017	22130	Jaca	49	Transporte terrestre y por tubería	62
2017	22130	Jaca	52	Almacenamiento y actividades anexas al transporte	2
2017	22130	Jaca	53	Actividades postales y de correos	9
2017	22130	Jaca	55	Servicios de alojamiento	62
2017	22130	Jaca	56	Servicios de comidas y bebidas	272
2017	22130	Jaca	58	Edición	9
2017	22130	Jaca	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	1
2017	22130	Jaca	60	Actividades de programación y emisión de radio y televisión	1
2017	22130	Jaca	62	Programación, consultoría y otras actividades relacionadas con la informática	19
2017	22130	Jaca	63	Servicios de información	2
2017	22130	Jaca	64	Servicios financieros, excepto seguros y fondos de pensiones	8
2017	22130	Jaca	66	Actividades auxiliares a los servicios financieros y a los seguros	48
2017	22130	Jaca	68	Actividades inmobiliarias	337
2017	22130	Jaca	69	Actividades jurídicas y de contabilidad	75
2017	22130	Jaca	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	51
2017	22130	Jaca	72	Investigación y desarrollo	10
2017	22130	Jaca	73	Publicidad y estudios de mercado	21
2017	22130	Jaca	74	Otras actividades profesionales, científicas y técnicas	39
2017	22130	Jaca	75	Actividades veterinarias	6
2017	22130	Jaca	77	Actividades de alquiler	31
2017	22130	Jaca	78	Actividades relacionadas con el empleo	2
2017	22130	Jaca	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	20
2017	22130	Jaca	81	Servicios a edificios y actividades de jardinería	33
2017	22130	Jaca	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	55
2017	22130	Jaca	85	Educación	110
2017	22130	Jaca	86	Actividades sanitarias	78
2017	22130	Jaca	87	Asistencia en establecimientos residenciales	4
2017	22130	Jaca	88	Actividades de servicios sociales sin alojamiento	1
2017	22130	Jaca	90	Actividades de creación, artísticas y espectáculos	38
2017	22130	Jaca	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	15
2017	22130	Jaca	92	Actividades de juegos de azar y apuestas	12
2017	22130	Jaca	93	Actividades deportivas, recreativas y de entretenimiento	51
2017	22130	Jaca	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	30
2017	22130	Jaca	96	Otros servicios personales	100
2017	22158	Monzón	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	169
2017	22158	Monzón	02	Silvicultura y explotación forestal	1
2017	22158	Monzón	08	Otras industrias extractivas	2
2017	22158	Monzón	10	Industria de la alimentación	29
2017	22158	Monzón	11	Fabricación de bebidas	3
2017	22158	Monzón	13	Industria textil	5
2017	22158	Monzón	14	Confección de prendas de vestir	8
2017	22158	Monzón	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	6
2017	22158	Monzón	17	Industria del papel	2
2017	22158	Monzón	18	Artes gráficas y reproducción de soportes grabados	11
2017	22158	Monzón	20	Industria química	13
2017	22158	Monzón	22	Fabricación de productos de caucho y plásticos	4
2017	22158	Monzón	23	Fabricación de otros productos minerales no metálicos	6
2017	22158	Monzón	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	3
2017	22158	Monzón	25	Fabricación de productos metálicos, excepto maquinaria y equipo	57
2017	22158	Monzón	26	Fabricación de productos informáticos, electrónicos y ópticos	4
2017	22158	Monzón	27	Fabricación de material y equipo eléctrico	3
2017	22158	Monzón	28	Fabricación de maquinaria y equipo n.c.o.p.	9
2017	22158	Monzón	29	Fabricación de vehículos de motor, remolques y semirremolques	1
2017	22158	Monzón	31	Fabricación de muebles	9
2017	22158	Monzón	32	Otras industrias manufactureras	6
2017	22158	Monzón	33	Reparación e instalación de maquinaria y equipo	17
2017	22158	Monzón	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	5
2017	22158	Monzón	36	Captación, depuración y distribución de agua	1
2017	22158	Monzón	37	Recogida y tratamiento de aguas residuales	3
2017	22158	Monzón	38	Recogida, tratamiento y eliminación de residuos; valorización	4
2017	22158	Monzón	39	Actividades de descontaminación y otros servicios de gestión de residuos	3
2017	22158	Monzón	41	Construcción de edificios	111
2017	22158	Monzón	42	Ingeniería civil	18
2017	22158	Monzón	43	Actividades de construcción especializada	197
2017	22158	Monzón	45	Venta y reparación de vehículos de motor y motocicletas	100
2017	22158	Monzón	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	133
2017	22158	Monzón	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	503
2017	22158	Monzón	49	Transporte terrestre y por tubería	92
2017	22158	Monzón	52	Almacenamiento y actividades anexas al transporte	24
2017	22158	Monzón	53	Actividades postales y de correos	5
2017	22158	Monzón	55	Servicios de alojamiento	11
2017	22158	Monzón	56	Servicios de comidas y bebidas	179
2017	22158	Monzón	58	Edición	10
2017	22158	Monzón	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	5
2017	22158	Monzón	60	Actividades de programación y emisión de radio y televisión	3
2017	22158	Monzón	61	Telecomunicaciones	4
2017	22158	Monzón	62	Programación, consultoría y otras actividades relacionadas con la informática	15
2017	22158	Monzón	63	Servicios de información	2
2017	22158	Monzón	64	Servicios financieros, excepto seguros y fondos de pensiones	10
2017	22158	Monzón	66	Actividades auxiliares a los servicios financieros y a los seguros	74
2017	22158	Monzón	68	Actividades inmobiliarias	294
2017	22158	Monzón	69	Actividades jurídicas y de contabilidad	96
2017	22158	Monzón	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	90
2017	22158	Monzón	72	Investigación y desarrollo	7
2017	22158	Monzón	73	Publicidad y estudios de mercado	14
2017	22158	Monzón	74	Otras actividades profesionales, científicas y técnicas	29
2017	22158	Monzón	75	Actividades veterinarias	11
2017	22158	Monzón	77	Actividades de alquiler	26
2017	22158	Monzón	78	Actividades relacionadas con el empleo	6
2017	22158	Monzón	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	6
2017	22158	Monzón	80	Actividades de seguridad e investigación	3
2017	22158	Monzón	81	Servicios a edificios y actividades de jardinería	33
2017	22158	Monzón	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	66
2017	22158	Monzón	85	Educación	113
2017	22158	Monzón	86	Actividades sanitarias	65
2017	22158	Monzón	87	Asistencia en establecimientos residenciales	2
2017	22158	Monzón	88	Actividades de servicios sociales sin alojamiento	5
2017	22158	Monzón	90	Actividades de creación, artísticas y espectáculos	42
2017	22158	Monzón	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	9
2017	22158	Monzón	92	Actividades de juegos de azar y apuestas	16
2017	22158	Monzón	93	Actividades deportivas, recreativas y de entretenimiento	31
2017	22158	Monzón	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	35
2017	22158	Monzón	96	Otros servicios personales	81
2017	44013	Alcañiz	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	89
2017	44013	Alcañiz	08	Otras industrias extractivas	7
2017	44013	Alcañiz	10	Industria de la alimentación	16
2017	44013	Alcañiz	11	Fabricación de bebidas	2
2017	44013	Alcañiz	13	Industria textil	7
2017	44013	Alcañiz	14	Confección de prendas de vestir	8
2017	44013	Alcañiz	15	Industria del cuero y del calzado	4
2017	44013	Alcañiz	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	11
2017	44013	Alcañiz	17	Industria del papel	1
2017	44013	Alcañiz	18	Artes gráficas y reproducción de soportes grabados	10
2017	44013	Alcañiz	20	Industria química	3
2017	44013	Alcañiz	22	Fabricación de productos de caucho y plásticos	4
2017	44013	Alcañiz	23	Fabricación de otros productos minerales no metálicos	14
2017	44013	Alcañiz	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	2
2017	44013	Alcañiz	25	Fabricación de productos metálicos, excepto maquinaria y equipo	28
2017	44013	Alcañiz	27	Fabricación de material y equipo eléctrico	1
2017	44013	Alcañiz	28	Fabricación de maquinaria y equipo n.c.o.p.	2
2017	44013	Alcañiz	29	Fabricación de vehículos de motor, remolques y semirremolques	5
2017	44013	Alcañiz	30	Fabricación de otro material de transporte	1
2017	44013	Alcañiz	31	Fabricación de muebles	12
2017	44013	Alcañiz	32	Otras industrias manufactureras	4
2017	44013	Alcañiz	33	Reparación e instalación de maquinaria y equipo	12
2017	44013	Alcañiz	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	19
2017	44013	Alcañiz	37	Recogida y tratamiento de aguas residuales	2
2017	44013	Alcañiz	38	Recogida, tratamiento y eliminación de residuos; valorización	5
2017	44013	Alcañiz	39	Actividades de descontaminación y otros servicios de gestión de residuos	1
2017	44013	Alcañiz	41	Construcción de edificios	171
2017	44013	Alcañiz	42	Ingeniería civil	24
2017	44013	Alcañiz	43	Actividades de construcción especializada	257
2017	44013	Alcañiz	45	Venta y reparación de vehículos de motor y motocicletas	119
2017	44013	Alcañiz	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	149
2017	44013	Alcañiz	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	686
2017	44013	Alcañiz	49	Transporte terrestre y por tubería	94
2017	44013	Alcañiz	52	Almacenamiento y actividades anexas al transporte	20
2017	44013	Alcañiz	53	Actividades postales y de correos	5
2017	44013	Alcañiz	55	Servicios de alojamiento	36
2017	44013	Alcañiz	56	Servicios de comidas y bebidas	164
2017	44013	Alcañiz	58	Edición	10
2017	44013	Alcañiz	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	3
2017	44013	Alcañiz	60	Actividades de programación y emisión de radio y televisión	8
2017	44013	Alcañiz	61	Telecomunicaciones	5
2017	44013	Alcañiz	62	Programación, consultoría y otras actividades relacionadas con la informática	25
2017	44013	Alcañiz	63	Servicios de información	4
2017	44013	Alcañiz	64	Servicios financieros, excepto seguros y fondos de pensiones	12
2017	44013	Alcañiz	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	4
2017	44013	Alcañiz	66	Actividades auxiliares a los servicios financieros y a los seguros	73
2017	44013	Alcañiz	68	Actividades inmobiliarias	453
2017	44013	Alcañiz	69	Actividades jurídicas y de contabilidad	97
2017	44013	Alcañiz	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	89
2017	44013	Alcañiz	72	Investigación y desarrollo	17
2017	44013	Alcañiz	73	Publicidad y estudios de mercado	22
2017	44013	Alcañiz	74	Otras actividades profesionales, científicas y técnicas	32
2017	44013	Alcañiz	75	Actividades veterinarias	7
2017	44013	Alcañiz	77	Actividades de alquiler	46
2017	44013	Alcañiz	78	Actividades relacionadas con el empleo	4
2017	44013	Alcañiz	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	11
2017	44013	Alcañiz	80	Actividades de seguridad e investigación	5
2017	44013	Alcañiz	81	Servicios a edificios y actividades de jardinería	32
2017	44013	Alcañiz	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	65
2017	44013	Alcañiz	85	Educación	106
2017	44013	Alcañiz	86	Actividades sanitarias	70
2017	44013	Alcañiz	87	Asistencia en establecimientos residenciales	1
2017	44013	Alcañiz	88	Actividades de servicios sociales sin alojamiento	6
2017	44013	Alcañiz	90	Actividades de creación, artísticas y espectáculos	38
2017	44013	Alcañiz	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	1
2017	44013	Alcañiz	92	Actividades de juegos de azar y apuestas	14
2017	44013	Alcañiz	93	Actividades deportivas, recreativas y de entretenimiento	31
2017	44013	Alcañiz	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	38
2017	44013	Alcañiz	96	Otros servicios personales	114
2017	44216	Teruel	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	68
2017	44216	Teruel	02	Silvicultura y explotación forestal	15
2017	44216	Teruel	08	Otras industrias extractivas	8
2017	44216	Teruel	10	Industria de la alimentación	48
2017	44216	Teruel	13	Industria textil	6
2017	44216	Teruel	14	Confección de prendas de vestir	5
2017	44216	Teruel	15	Industria del cuero y del calzado	1
2017	44216	Teruel	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	22
2017	44216	Teruel	18	Artes gráficas y reproducción de soportes grabados	34
2017	44216	Teruel	20	Industria química	5
2017	44216	Teruel	22	Fabricación de productos de caucho y plásticos	4
2017	44216	Teruel	23	Fabricación de otros productos minerales no metálicos	26
2017	44216	Teruel	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	2
