Año	Temporalidad	Sector Código	Sector Descripción	Nº Accidentes	Comarca Código	Comarca Nombre
2018	Temporal	1	Agricultura, ganadería y pesca	1	01	La Jacetania
2018	Indefinido	1	Agricultura, ganadería y pesca	3	05	Cinco Villas
2018	Indefinido	1	Agricultura, ganadería y pesca	1	06	Hoya de Huesca / Plana de Uesca
2018	Temporal	1	Agricultura, ganadería y pesca	2	06	Hoya de Huesca / Plana de Uesca
2018	Indefinido	1	Agricultura, ganadería y pesca	2	08	Cinca Medio
2018	Temporal	1	Agricultura, ganadería y pesca	4	08	Cinca Medio
2018	Indefinido	1	Agricultura, ganadería y pesca	3	09	La Litera / La Llitera
2018	Temporal	1	Agricultura, ganadería y pesca	1	09	La Litera / La Llitera
2018	Indefinido	1	Agricultura, ganadería y pesca	4	11	Bajo Cinca / Baix Cinca
2018	Temporal	1	Agricultura, ganadería y pesca	14	11	Bajo Cinca / Baix Cinca
2018	Temporal	1	Agricultura, ganadería y pesca	3	12	Tarazona y el Moncayo
2018	Temporal	1	Agricultura, ganadería y pesca	4	13	Campo de Borja
2018	Temporal	1	Agricultura, ganadería y pesca	1	15	Ribera Alta del Ebro
2018	Indefinido	1	Agricultura, ganadería y pesca	2	16	Valdejalón
2018	Temporal	1	Agricultura, ganadería y pesca	4	16	Valdejalón
2018	Indefinido	1	Agricultura, ganadería y pesca	5	17	D.C. Zaragoza
2018	Temporal	1	Agricultura, ganadería y pesca	2	17	D.C. Zaragoza
2018	Indefinido	1	Agricultura, ganadería y pesca	1	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2018	Temporal	1	Agricultura, ganadería y pesca	4	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2018	Temporal	1	Agricultura, ganadería y pesca	5	20	Comunidad de Calatayud
2018	Temporal	1	Agricultura, ganadería y pesca	1	21	Campo de Cariñena
2018	Temporal	1	Agricultura, ganadería y pesca	1	25	Jiloca
2018	Sin clasificar	1	Agricultura, ganadería y pesca	1	28	Bajo Aragón
2018	Indefinido	1	Agricultura, ganadería y pesca	1	29	Comunidad de Teruel
2018	Indefinido	1	Agricultura, ganadería y pesca	1	33	Matarraña / Matarranya
2018	Temporal	1	Agricultura, ganadería y pesca	2	NC	Municipio del centro de trabajo fuera de Aragón
2018	Indefinido	2	Industria y energía	3	05	Cinco Villas
2018	Temporal	2	Industria y energía	4	05	Cinco Villas
2018	Indefinido	2	Industria y energía	7	06	Hoya de Huesca / Plana de Uesca
2018	Temporal	2	Industria y energía	3	06	Hoya de Huesca / Plana de Uesca
2018	Indefinido	2	Industria y energía	1	07	Somontano de Barbastro
2018	Temporal	2	Industria y energía	3	07	Somontano de Barbastro
2018	Indefinido	2	Industria y energía	5	08	Cinca Medio
2018	Temporal	2	Industria y energía	7	08	Cinca Medio
2018	Indefinido	2	Industria y energía	5	09	La Litera / La Llitera
2018	Indefinido	2	Industria y energía	7	11	Bajo Cinca / Baix Cinca
2018	Temporal	2	Industria y energía	1	11	Bajo Cinca / Baix Cinca
2018	Indefinido	2	Industria y energía	1	12	Tarazona y el Moncayo
2018	Temporal	2	Industria y energía	1	12	Tarazona y el Moncayo
2018	Indefinido	2	Industria y energía	3	13	Campo de Borja
2018	Temporal	2	Industria y energía	1	13	Campo de Borja
2018	Temporal	2	Industria y energía	2	14	Aranda
2018	Indefinido	2	Industria y energía	42	15	Ribera Alta del Ebro
2018	Temporal	2	Industria y energía	20	15	Ribera Alta del Ebro
2018	Indefinido	2	Industria y energía	11	16	Valdejalón
2018	Temporal	2	Industria y energía	7	16	Valdejalón
2018	Indefinido	2	Industria y energía	144	17	D.C. Zaragoza
2018	Temporal	2	Industria y energía	80	17	D.C. Zaragoza
